user1X,user1Y,1YRaw
20,0,2140
20,0,2140
20,0,2140
20,0,2140
20,0,2140
20,0,2140
78,51,2089
180,57,2083
184,104,2036
200,164,1976
312,162,1978
363,159,1981
363,184,1956
360,226,1914
349,261,1879
349,261,1879
349,452,1688
361,490,1650
447,563,1577
483,623,1517
554,578,1562
574,616,1524
702,649,1491
768,508,1632
801,434,1706
848,333,1807
848,333,1807
945,193,1947
1091,182,1958
1222,175,1965
1237,175,1965
1213,206,1934
1126,264,1876
1085,282,1858
996,390,1750
947,445,1695
930,564,1576
930,571,1569
955,643,1497
1021,656,1484
1059,640,1500
1059,640,1500
1075,701,1439
1137,732,1408
1183,644,1496
1272,592,1548
1363,462,1678
1405,431,1709
1494,374,1766
1610,345,1795
1655,374,1766
1645,378,1762
1521,449,1691
1442,535,1605
1393,626,1514
1380,727,1413
1411,778,1362
1444,886,1254
1504,908,1232
1531,910,1230
1555,788,1352
1555,728,1412
1595,688,1452
1628,662,1478
1693,613,1527
1762,613,1527
1817,613,1527
1797,643,1497
1748,685,1455
1748,778,1362
1731,807,1333
1718,894,1246
1723,894,1246
1729,908,1232
1760,911,1229
1810,931,1209
1861,970,1170
1932,977,1163
1955,977,1163
1955,977,1163
1955,977,1163